income_stability,spending_consistency,savings_ratio,transaction_frequency,avg_monthly_income,avg_monthly_spending,defaulted
0.2057,0.98,0.2761,16.15,24061.64,17086.5,0
0.2224,0.2752,0.2853,17.94,27551.81,21201.39,0
0.0579,0.5394,0.5027,18.85,33013.03,16165.86,0
0.077,0.2342,0.3072,17.29,31462.24,20277.28,0
0.2146,0.0316,0.5056,20.42,34711.55,18723.13,0
0.01,0.1067,0.5365,20.46,34705.35,16243.15,0
0.335,0.6503,0.326,14.4,25342.2,19180.34,0
0.2532,0.7402,0.2238,11.77,22287.84,18031.14,0
0.1207,0.0457,0.3626,21.85,32484.52,21346.33,0
0.1379,0.195,0.4437,26.43,37486.45,22676.52,0
0.0532,0.2187,0.2145,13.06,22340.89,17154.96,0
0.0828,0.0765,0.3701,18.45,29046.19,20323.69,0
0.3793,0.4452,0.4531,21.68,40404.27,20264.6,0
0.0641,0.2729,0.2256,17.33,27445.97,23113.79,0
0.5597,0.6146,0.5236,23.47,41908.2,19778.26,0
0.5689,0.2173,0.2705,14.49,27652.57,20843.54,0
0.2039,0.6902,0.1434,12.27,21055.57,16103.78,0
0.4653,0.5676,0.222,17.04,24879.56,18280.76,1
0.3687,0.2237,0.4226,19.16,30637.46,18699.68,0
0.1399,0.2308,0.3328,16.65,24534.1,18621.3,0
0.133,0.2098,0.4591,18.94,28226.72,16176.6,0
0.1772,0.328,0.2029,12.47,26619.87,19619.62,0
0.0375,0.1641,0.3541,23.35,34404.47,21120.25,0
0.3153,0.4356,0.2545,16.44,23048.06,17807.62,0
0.1495,0.2285,0.4275,17.33,33449.64,17390.55,0
0.1942,0.54,0.3917,21.32,28929.6,17189.44,0
0.3063,0.4218,0.1035,10.81,20098.12,17331.37,0
0.3548,0.3004,0.428,24.63,35142.27,20054.16,0
0.4346,0.4205,0.1929,14.95,27282.21,24463.74,1
0.2341,0.199,0.4821,26.59,44895.76,24474.79,0
0.0477,0.1001,0.2056,16.73,22778.25,18596.2,0
0.3091,0.0301,0.5615,24.49,33715.31,15650.45,0
0.3551,0.673,0.1785,12.53,20940.71,16536.94,0
0.1511,0.24,0.2693,9.51,16608.96,12673.51,0
0.2778,0.4076,0.4342,22.28,33700.25,19784.96,0
0.3004,0.3919,0.2366,11.46,15901.54,11935.14,0
0.1464,0.1722,0.0847,13.02,21256.4,19299.74,0
0.1699,0.1488,0.5401,24.69,41169.85,15969.68,0
0.2163,0.1827,0.299,14.07,29273.78,21078.23,0
0.0572,0.2718,0.4038,19.69,33369.65,20981.99,0
0.3645,0.3988,0.4049,20.03,37159.91,20485.78,0
0.4696,0.1921,0.3519,21.57,30626.44,19785.72,0
0.0729,0.5802,0.3111,14.17,29373.07,20797.76,0
0.5523,0.0864,0.0388,8.19,14201.11,12435.26,0
0.1438,0.28,0.2038,13.33,20083.76,18166.31,0
0.2461,0.1672,0.2752,13.15,23206.43,16236.29,0
0.1893,0.2859,0.4154,22.81,32998.34,18680.33,0
0.0274,0.1363,0.4201,24.24,36545.43,20417.3,0
0.4162,0.0622,0.2714,10.47,15052.82,11283.34,0
0.7122,0.113,0.3182,14.99,24052.13,16562.38,0
0.1005,0.0808,0.5485,27.63,37016.31,16794.76,0
0.1058,0.6374,0.2777,17.84,23684.08,18518.76,0
0.2526,0.3201,0.3598,19.03,31427.65,20203.83,0
0.1592,0.0801,0.4709,19.58,35761.95,19170.44,0
0.1861,0.5754,0.412,19.05,31124.35,17337.44,0
0.2814,0.1749,0.331,13.9,27769.32,19565.97,0
0.5575,0.0692,0.0888,9.32,13174.98,13102.32,0
0.1324,0.1778,0.4511,24.41,34361.28,19759.29,0
0.1229,0.11,0.3247,21.15,34595.42,24838.69,0
0.454,0.3677,0.019,12.46,20431.22,20369.93,1
0.01,0.1847,0.4738,27.83,39346.29,21088.72,0
0.1421,0.3799,0.0658,8.03,9649.5,8642.43,0
0.0608,0.2957,0.0908,6.43,4817.82,3993.61,0
0.1366,0.4023,0.2838,6.75,17271.03,12686.07,0
0.4637,0.5252,0.2391,10.78,20675.11,16687.79,0
0.3188,0.2608,0.2633,14.95,35763.29,25475.73,0
0.3573,0.4184,0.3333,13.32,28589.0,18768.01,0
0.3369,0.2735,0.228,16.21,35019.22,29398.8,0
0.0439,0.0533,0.2122,13.01,22527.86,20502.02,0
0.4025,0.1065,0.3771,25.4,38660.47,28039.67,0
0.6157,0.3684,0.2124,14.4,23151.45,18115.96,0
0.0955,0.3661,0.3685,10.42,21631.66,14751.9,0
0.539,0.0793,0.1675,8.09,19791.79,17283.95,0
0.0451,0.7509,0.3125,15.87,26603.43,16373.18,0
0.2533,0.1363,0.3829,21.65,37780.07,26126.38,0
0.0784,0.3676,0.5059,26.17,42371.21,21016.69,0
0.465,0.3965,0.3622,21.75,26097.06,15992.09,0
0.2378,0.2896,0.3053,15.97,33420.68,22147.29,0
0.6913,0.0477,0.1567,20.82,31011.76,25345.09,0
0.2098,0.3331,0.3697,20.33,29526.48,19681.63,0
0.5547,0.2332,0.2904,9.98,25762.38,20992.37,0
0.0196,0.0642,0.4814,19.38,29434.95,14418.12,0
0.2374,0.3837,0.4062,15.42,35523.32,21621.16,0
0.2489,0.4204,0.3498,14.87,31604.01,19643.02,0
0.0644,0.2192,0.4038,22.94,30073.69,20012.25,0
0.1747,0.1887,0.1751,11.35,22618.09,18170.24,0
0.3514,0.1608,0.3045,17.6,31276.85,22098.8,0
0.4596,0.3329,0.3291,17.7,30271.2,17758.08,0
0.3335,0.1133,0.4036,16.22,25383.53,15349.57,0
0.0927,0.1567,0.3063,21.8,33134.51,24068.97,0
0.098,0.0582,0.4,20.73,30992.32,16799.42,0
0.0218,0.1007,0.4439,25.18,31117.7,17329.94,0
0.3925,0.1668,0.4776,19.72,36454.45,19762.01,0
0.4537,0.0512,0.2085,15.36,19582.75,14833.56,0
0.1376,0.1427,0.2743,12.65,20565.94,16949.27,0
0.079,0.0832,0.0174,11.61,16093.7,15286.86,0
0.2779,0.0987,0.5066,22.5,39908.0,19411.05,0
0.3023,0.2107,0.1771,11.19,20571.3,17040.75,0
0.2127,0.4477,0.2407,18.36,25705.14,23211.28,0
0.2626,0.0665,0.2946,14.39,27744.33,22393.6,0
0.4921,0.3089,0.1293,16.63,20609.36,18057.61,0
0.18,0.419,0.2242,12.53,23524.67,16260.89,0
0.0782,0.4515,0.4683,25.7,44672.75,23098.33,0
0.3145,0.3791,0.0,4.89,6793.13,6706.33,1
0.305,0.3201,0.1526,12.66,22853.53,20026.09,0
0.1334,0.6167,0.2969,17.23,19886.08,14109.38,0
0.1778,0.102,0.451,19.56,34820.53,21260.7,0
0.3264,0.0563,0.0937,10.86,15164.63,13548.07,0
0.3889,0.2357,0.2201,16.73,27692.37,21403.11,0
0.6998,0.6159,0.0549,14.75,25606.13,23738.94,0
0.2046,0.6898,0.3209,16.63,23415.31,16056.39,0
0.0492,0.2833,0.2895,15.9,21953.73,13068.4,0
0.7475,0.1339,0.1363,10.48,24786.53,21841.65,0
0.0501,0.1337,0.4258,23.79,33355.91,18044.92,0
0.3426,0.266,0.4606,21.66,40139.4,22867.54,0
0.1953,0.1195,0.4169,21.55,29780.24,18688.67,0
0.2379,0.458,0.4831,23.82,38942.95,22602.67,0
0.7212,0.2115,0.2344,11.79,20102.89,15440.09,1
0.1544,0.1876,0.3411,17.74,31696.94,22085.08,0
0.195,0.3139,0.2264,12.1,26842.21,19471.73,0
0.1671,0.4943,0.3021,20.0,34912.5,21869.27,0
0.6069,0.0799,0.3139,14.15,34453.75,22367.42,0
0.2506,0.5609,0.3459,21.44,36813.42,24140.16,0
0.1323,0.2607,0.2089,11.63,24488.19,21257.39,0
0.1756,0.2728,0.5588,19.98,34060.83,17315.01,0
0.1315,0.4693,0.5813,24.95,40591.14,15229.35,0
0.1331,0.4525,0.0847,2.8,13293.75,11188.11,1
0.8039,0.5655,0.0714,4.6,15193.52,14363.94,1
0.2748,0.1151,0.439,24.4,34690.01,18258.86,0
0.0597,0.2474,0.249,16.89,24742.56,17423.96,0
0.2008,0.7907,0.2512,18.11,22213.84,17676.8,0
0.2079,0.4031,0.1579,5.28,14719.71,12620.99,0
0.0818,0.3945,0.315,16.29,29430.9,21670.86,0
0.137,0.5905,0.2633,22.93,31563.0,25687.86,0
0.01,0.1191,0.479,24.95,31780.18,17806.82,0
0.0974,0.2747,0.5097,28.8,41440.77,24855.24,0
0.0812,0.3564,0.0067,11.42,12292.01,11383.71,0
0.2444,0.1709,0.3674,19.28,22195.1,14275.42,0
0.1632,0.161,0.2944,16.83,28211.37,20002.95,0
0.2586,0.4931,0.4399,15.87,31812.75,21358.6,0
0.4595,0.1732,0.332,27.44,30013.43,19625.51,0
0.1274,0.5264,0.2493,14.6,19798.57,16116.68,0
0.2104,0.3736,0.1895,12.74,18178.18,14288.94,0
0.559,0.1105,0.2271,13.44,18144.77,14142.08,1
0.4972,0.6417,0.1842,11.98,17065.09,13553.61,1
0.3807,0.2671,0.2295,12.12,19281.65,14116.68,0
0.4084,0.2399,0.2526,19.66,30065.8,22212.47,0
0.1785,0.0853,0.4132,26.43,34561.83,18214.62,0
0.0513,0.3622,0.4707,22.82,38679.13,20626.28,0
0.4224,0.1304,0.425,24.42,30058.68,16594.3,0
0.3776,0.1539,0.1746,11.68,19814.83,18300.14,0
0.2905,0.4736,0.2642,17.69,25153.15,19369.27,0
0.4703,0.2445,0.4316,19.66,35709.03,17282.12,0
0.0826,0.1173,0.4206,25.65,42589.36,24886.96,0
0.1346,0.3648,0.3562,20.05,32002.09,17486.04,0
0.0835,0.1354,0.2421,11.67,20676.0,16500.32,1
0.1792,0.6132,0.206,16.86,28557.28,20455.82,0
0.1054,0.4157,0.2909,15.35,21564.98,14853.6,0
0.3463,0.0846,0.3718,20.15,31010.89,21379.49,0
0.3086,0.2895,0.4969,23.06,40571.26,19177.04,0
0.0571,0.3425,0.4007,18.4,27734.43,16448.75,0
0.0551,0.0518,0.5772,25.56,40604.56,16988.16,0
0.0909,0.2647,0.3621,24.11,39530.93,26395.62,0
0.3356,0.5039,0.4335,23.97,38946.89,23157.6,0
0.0979,0.1408,0.1601,11.34,17897.94,14930.1,0
0.3127,0.2118,0.4882,25.33,32997.89,16710.09,0
0.3639,0.857,0.0,10.06,19186.95,18629.44,0
0.4898,0.2686,0.2285,12.37,23250.03,17812.55,1
0.1536,0.1914,0.5453,22.92,39288.44,14786.83,0
0.1992,0.1246,0.1389,11.81,18766.47,15835.7,0
0.3538,0.8171,0.2724,11.57,15634.84,11369.17,0
0.2363,0.0569,0.4011,22.67,37363.14,24170.7,0
0.3837,0.0866,0.2993,14.42,23976.09,17690.84,0
0.1595,0.4164,0.2906,10.13,15321.59,10926.3,0
0.0771,0.237,0.2696,13.96,21756.72,16597.1,0
0.5401,0.1201,0.4155,26.06,36279.87,20054.65,0
0.6601,0.291,0.223,6.45,20899.38,17722.44,0
0.3094,0.3644,0.5664,24.4,37774.56,15111.94,0
0.0691,0.2514,0.4776,24.95,39136.88,15709.93,0
0.428,0.01,0.3197,14.68,34035.43,25281.33,0
0.5329,0.1625,0.1895,15.41,19405.1,15292.12,0
0.0773,0.1922,0.2385,8.91,17241.52,14610.43,0
0.1157,0.1873,0.4148,26.11,43867.27,24842.41,0
0.6833,0.2081,0.1777,12.96,19690.39,15338.7,1
0.6448,0.2052,0.2106,14.45,15136.04,11820.06,1
0.0456,0.2212,0.3302,18.15,28852.27,21334.39,0
0.0768,0.2425,0.5251,24.31,35646.93,14012.21,0
0.4067,0.3501,0.419,26.2,38520.71,21825.84,0
0.3965,0.0935,0.204,9.76,14144.74,10553.01,0
0.01,0.5129,0.3028,15.28,26030.54,18429.52,0
0.6493,0.1213,0.057,7.98,17214.22,16405.65,0
0.1953,0.1655,0.2226,8.5,12596.05,10027.3,0
0.0743,0.1305,0.4132,16.12,29418.34,17067.42,0
0.1279,0.4524,0.3039,18.29,25297.54,19068.85,0
0.5943,0.4812,0.1212,9.42,9944.25,8084.28,0
0.01,0.1097,0.2769,23.45,31957.93,25712.19,0
0.7202,0.1901,0.1833,12.06,24005.15,20970.64,0
0.5801,0.1154,0.1234,9.17,22316.43,19808.34,1
0.303,0.1306,0.2242,17.13,22951.99,20596.08,0
